"COU","Country","CORP_TAX","Corporate income tax rate","TAR","Targeted","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","CIT_RATE","Corporate income tax rate","Y","Y","2012","2012","PC","Percentage","0","units",,,34.43,,
"FRA","France","CIT_RATE","Corporate income tax rate","Y","Y","2013","2013","PC","Percentage","0","units",,,34.43,,
"FRA","France","CIT_RATE","Corporate income tax rate","Y","Y","2014","2014","PC","Percentage","0","units",,,34.43,,
"FRA","France","CIT_RATE","Corporate income tax rate","Y","Y","2015","2015","PC","Percentage","0","units",,,34.43,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2000","2000","PC","Percentage","0","units",,,42.2,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2001","2001","PC","Percentage","0","units",,,26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2002","2002","PC","Percentage","0","units",,,26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2003","2003","PC","Percentage","0","units",,,27.96,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2004","2004","PC","Percentage","0","units",,,26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2005","2005","PC","Percentage","0","units",,,26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2006","2006","PC","Percentage","0","units",,,26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2007","2007","PC","Percentage","0","units",,,26.375,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2008","2008","PC","Percentage","0","units",,,15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2009","2009","PC","Percentage","0","units",,,15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2010","2010","PC","Percentage","0","units",,,15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2011","2011","PC","Percentage","0","units",,,15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2012","2012","PC","Percentage","0","units",,,15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2013","2013","PC","Percentage","0","units",,,15.825,,
"DEU","Germany","CIT_RATE","Corporate income tax rate","N","N","2014","2014","PC","Percentage","0","units",,,15.825,,
